year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2007,176,175.91,175.92,176.02,176.06,176.08,176.05,176,175.95,175.88,175.77,175.68
2008,175.7,175.76,175.78,175.92,176.04,176.16,176.24,176.22,176.18,176.09,176,175.97
2009,176.01,176.01,176.09,176.2,176.34,176.42,176.44,176.44,176.37,176.29,176.27,176.22
2010,176.15,176.11,176.09,176.11,176.13,176.19,176.26,176.24,176.16,176.07,175.96,175.86
2011,175.81,175.78,175.81,175.91,176.1,176.21,176.26,176.24,176.13,176.08,176.07,176.04
2012,175.99,175.96,176,176.03,176.05,176.07,176.04,175.97,175.86,175.74,175.68,175.61
2013,175.57,175.61,175.63,175.75,175.93,176.05,176.09,176.08,176.04,176.01,176.01,175.97
2014,175.95,175.95,175.95,176.06,176.27,176.38,176.46,176.48,176.51,176.54,176.54,176.53
2015,176.51,176.5,176.48,176.53,176.59,176.69,176.73,176.72,176.7,176.58,176.54,176.55
2016,176.57,176.56,176.61,176.77,176.82,176.84,176.84,176.82,176.78,176.69,176.59,176.51
2017,176.47,176.47,176.53,176.66,176.8,176.88,176.99,177,176.93,176.87,176.85,176.79
2018,176.73,176.74,176.76,176.79,176.92,176.98,176.98,176.95,176.94,176.9,176.86,176.83
2019,176.81,176.83,176.86,176.96,177.17,177.32,177.37,177.32,,,,
